Date,Open,High,Low,Close,Adj Close,Volume
2023-02-27 09:30:00,17438.650390625,17450.75,17334.849609375,17335.55078125,17335.55078125,0
2023-02-27 10:00:00,17334.94921875,17345.44921875,17301.69921875,17324.44921875,17324.44921875,0
2023-02-27 10:30:00,17325.05078125,17332.599609375,17307.19921875,17327.099609375,17327.099609375,0
2023-02-27 11:00:00,17327.25,17381.30078125,17324.599609375,17351.900390625,17351.900390625,0
2023-02-27 11:30:00,17352.44921875,17395.150390625,17343.849609375,17378.099609375,17378.099609375,0
2023-02-27 12:00:00,17379.0,17379.55078125,17322.650390625,17336.69921875,17336.69921875,0
2023-02-27 12:30:00,17336.80078125,17347.900390625,17326.650390625,17337.80078125,17337.80078125,0
2023-02-27 13:00:00,17337.55078125,17344.25,17299.900390625,17320.55078125,17320.55078125,0
2023-02-27 13:30:00,17320.30078125,17355.05078125,17317.55078125,17352.05078125,17352.05078125,0
2023-02-27 14:00:00,17351.900390625,17374.150390625,17336.69921875,17348.400390625,17348.400390625,0
2023-02-27 14:30:00,17347.5,17375.44921875,17336.099609375,17374.400390625,17374.400390625,0
2023-02-27 15:00:00,17374.349609375,17411.05078125,17365.05078125,17406.349609375,17406.349609375,0
2023-02-28 09:30:00,17406.94921875,17440.19921875,17389.099609375,17403.150390625,17403.150390625,0
2023-02-28 10:00:00,17403.75,17413.099609375,17369.900390625,17412.30078125,17412.30078125,0
2023-02-28 10:30:00,17409.69921875,17415.69921875,17346.400390625,17371.55078125,17371.55078125,0
2023-02-28 11:00:00,17371.0,17380.94921875,17359.900390625,17362.30078125,17362.30078125,0
2023-02-28 11:30:00,17362.099609375,17385.349609375,17343.75,17376.900390625,17376.900390625,0
2023-02-28 12:00:00,17376.599609375,17401.150390625,17372.099609375,17391.69921875,17391.69921875,0
2023-02-28 12:30:00,17392.0,17397.69921875,17339.94921875,17354.44921875,17354.44921875,0
2023-02-28 13:00:00,17354.349609375,17368.30078125,17332.44921875,17334.94921875,17334.94921875,0
2023-02-28 13:30:00,17335.349609375,17354.349609375,17309.349609375,17310.0,17310.0,0
2023-02-28 14:00:00,17309.30078125,17313.75,17255.900390625,17303.05078125,17303.05078125,0
2023-02-28 14:30:00,17303.05078125,17315.44921875,17271.0,17312.599609375,17312.599609375,0
2023-02-28 15:00:00,17314.55078125,17342.099609375,17286.150390625,17317.19921875,17317.19921875,0
2023-03-01 09:30:00,17369.599609375,17421.75,17362.75,17389.400390625,17389.400390625,0
2023-03-01 10:00:00,17390.44921875,17420.94921875,17389.55078125,17418.0,17418.0,0
2023-03-01 10:30:00,17418.349609375,17427.0,17403.94921875,17419.5,17419.5,0
2023-03-01 11:00:00,17419.5,17436.5,17409.69921875,17427.650390625,17427.650390625,0
2023-03-01 11:30:00,17428.44921875,17440.44921875,17417.5,17427.400390625,17427.400390625,0
2023-03-01 12:00:00,17427.94921875,17431.349609375,17393.599609375,17417.349609375,17417.349609375,0
2023-03-01 12:30:00,17417.55078125,17429.75,17401.75,17422.05078125,17422.05078125,0
2023-03-01 13:00:00,17422.30078125,17423.94921875,17401.80078125,17421.150390625,17421.150390625,0
2023-03-01 13:30:00,17421.150390625,17445.05078125,17408.599609375,17423.80078125,17423.80078125,0
2023-03-01 14:00:00,17423.400390625,17448.25,17423.0,17445.75,17445.75,0
2023-03-01 14:30:00,17446.150390625,17467.5,17446.150390625,17451.099609375,17451.099609375,0
2023-03-01 15:00:00,17451.19921875,17461.55078125,17442.900390625,17457.25,17457.25,0
2023-03-02 09:30:00,17375.75,17393.55078125,17348.0,17348.0,17348.0,0
2023-03-02 10:00:00,17346.69921875,17374.19921875,17344.44921875,17370.75,17370.75,0
2023-03-02 10:30:00,17371.400390625,17388.0,17356.150390625,17365.900390625,17365.900390625,0
2023-03-02 11:00:00,17365.650390625,17380.94921875,17358.0,17373.0,17373.0,0
2023-03-02 11:30:00,17373.44921875,17384.099609375,17369.44921875,17383.05078125,17383.05078125,0
2023-03-02 12:00:00,17382.349609375,17401.80078125,17370.69921875,17378.849609375,17378.849609375,0
2023-03-02 12:30:00,17379.44921875,17388.30078125,17370.55078125,17372.099609375,17372.099609375,0
2023-03-02 13:00:00,17372.099609375,17383.5,17348.80078125,17353.849609375,17353.849609375,0
2023-03-02 13:30:00,17353.05078125,17355.75,17313.400390625,17320.900390625,17320.900390625,0
2023-03-02 14:00:00,17321.05078125,17345.400390625,17306.5,17336.5,17336.5,0
2023-03-02 14:30:00,17337.19921875,17343.19921875,17314.349609375,17327.900390625,17327.900390625,0
2023-03-02 15:00:00,17328.80078125,17336.19921875,17311.44921875,17318.650390625,17318.650390625,0
2023-03-03 09:30:00,17467.30078125,17495.25,17453.099609375,17485.94921875,17485.94921875,0
2023-03-03 10:00:00,17485.75,17527.30078125,17474.0,17521.19921875,17521.19921875,0
2023-03-03 10:30:00,17520.5,17555.849609375,17516.75,17542.099609375,17542.099609375,0
2023-03-03 11:00:00,17542.599609375,17569.0,17534.900390625,17561.75,17561.75,0
2023-03-03 11:30:00,17562.150390625,17578.44921875,17561.05078125,17566.599609375,17566.599609375,0
2023-03-03 12:00:00,17566.30078125,17578.05078125,17559.55078125,17560.650390625,17560.650390625,0
2023-03-03 12:30:00,17559.94921875,17563.94921875,17535.900390625,17556.19921875,17556.19921875,0
2023-03-03 13:00:00,17557.25,17579.05078125,17553.400390625,17573.150390625,17573.150390625,0
2023-03-03 13:30:00,17573.44921875,17607.650390625,17572.69921875,17598.0,17598.0,0
2023-03-03 14:00:00,17597.75,17628.349609375,17596.94921875,17624.25,17624.25,0
2023-03-03 14:30:00,17623.80078125,17644.69921875,17615.099609375,17627.400390625,17627.400390625,0
2023-03-03 15:00:00,17626.69921875,17627.05078125,17585.0,17592.30078125,17592.30078125,0
2023-03-06 09:30:00,17750.75,17777.5,17737.599609375,17767.349609375,17767.349609375,0
2023-03-06 10:00:00,17767.05078125,17793.900390625,17754.650390625,17776.44921875,17776.44921875,0
2023-03-06 10:30:00,17775.900390625,17798.349609375,17773.0,17776.0,17776.0,0
2023-03-06 11:00:00,17776.099609375,17789.599609375,17750.05078125,17762.69921875,17762.69921875,0
2023-03-06 11:30:00,17762.400390625,17785.19921875,17761.5,17784.849609375,17784.849609375,0
2023-03-06 12:00:00,17785.05078125,17786.849609375,17751.94921875,17759.5,17759.5,0
